DateTime,Action,Source IP,Destination IP,Protocol,Port,Rule
2024-01-01 0:00:00,Allowed,184.147.219.178,37.52.75.196,ICMP,53080,HTTPS Allow
2024-01-01 0:01:00,Allowed,229.189.141.94,215.55.74.95,ICMP,3735,FTP Allow
2024-01-01 0:02:00,Allowed,185.206.251.250,58.61.25.227,UDP,33196,HTTPS Allow
2024-01-01 0:03:00,Blocked,182.23.178.249,116.13.54.139,HTTPS,47490,FTP Allow
2024-01-01 0:04:00,Allowed,84.29.23.6,38.166.23.122,ICMP,45890,HTTPS Allow
2024-01-01 0:05:00,Blocked,74.230.148.48,229.43.107.171,TCP,31791,ICMP Deny
2024-01-01 0:06:00,Blocked,202.137.118.250,192.64.49.73,HTTPS,22455,HTTP Deny
2024-01-01 0:07:00,Blocked,114.103.109.67,48.175.47.128,HTTPS,17618,HTTPS Allow
2024-01-01 0:08:00,Blocked,198.10.5.201,125.42.68.148,HTTPS,19440,HTTP Deny
2024-01-01 0:09:00,Blocked,63.235.198.212,19.215.232.11,ICMP,60719,FTP Allow
2024-01-01 0:10:00,Blocked,8.120.157.63,43.92.157.182,UDP,43844,HTTP Deny
2024-01-01 0:11:00,Allowed,175.156.89.61,64.19.135.54,UDP,1265,HTTP Deny
2024-01-01 0:12:00,Blocked,138.62.90.237,16.222.61.22,ICMP,55841,FTP Allow
2024-01-01 0:13:00,Blocked,97.154.51.50,169.16.154.122,HTTP,15972,ICMP Deny
2024-01-01 0:14:00,Blocked,36.154.103.54,208.93.191.162,TCP,57003,DNS Allow
2024-01-01 0:15:00,Allowed,68.182.194.16,126.66.12.127,TCP,23042,DNS Allow
2024-01-01 0:16:00,Blocked,200.42.47.117,11.57.156.129,UDP,58078,FTP Allow
2024-01-01 0:17:00,Allowed,56.94.63.9,200.18.229.177,HTTP,44430,HTTPS Allow
2024-01-01 0:18:00,Blocked,206.173.191.189,194.81.201.187,HTTP,33043,DNS Allow
2024-01-01 0:19:00,Blocked,40.109.160.145,44.57.162.168,TCP,25423,HTTP Deny
2024-01-01 0:20:00,Allowed,52.130.18.16,51.15.15.131,HTTP,20624,HTTP Deny
2024-01-01 0:21:00,Blocked,53.79.28.187,202.91.43.212,HTTP,47425,DNS Allow
2024-01-01 0:22:00,Allowed,84.175.182.232,167.94.234.136,HTTPS,19678,HTTPS Allow
2024-01-01 0:23:00,Blocked,162.241.5.251,122.201.179.236,ICMP,47196,DNS Allow
2024-01-01 0:24:00,Allowed,202.74.110.173,154.83.188.59,UDP,46834,ICMP Deny
2024-01-01 0:25:00,Blocked,32.207.180.181,104.112.120.135,TCP,25679,DNS Allow
2024-01-01 0:26:00,Allowed,246.198.159.66,206.249.146.216,ICMP,11781,HTTP Deny
2024-01-01 0:27:00,Allowed,175.16.41.119,68.202.158.138,TCP,27498,FTP Allow
2024-01-01 0:28:00,Allowed,109.188.241.238,47.161.4.230,UDP,57305,DNS Allow
2024-01-01 0:29:00,Blocked,231.147.160.95,10.45.248.173,HTTPS,49980,ICMP Deny
2024-01-01 0:30:00,Blocked,150.74.102.127,190.81.5.25,HTTPS,51681,FTP Allow
2024-01-01 0:31:00,Blocked,189.21.159.23,146.207.240.181,TCP,39358,ICMP Deny
2024-01-01 0:32:00,Blocked,185.195.101.125,47.236.47.53,ICMP,20149,ICMP Deny
2024-01-01 0:33:00,Blocked,40.2.59.19,121.246.0.33,TCP,2341,HTTPS Allow
2024-01-01 0:34:00,Blocked,11.201.79.107,128.4.250.46,ICMP,1886,HTTPS Allow
2024-01-01 0:35:00,Blocked,254.50.243.209,1.154.225.128,UDP,63900,HTTP Deny
2024-01-01 0:36:00,Blocked,74.148.67.69,89.68.148.233,TCP,44242,HTTPS Allow
2024-01-01 0:37:00,Blocked,6.127.222.95,113.185.207.84,UDP,24433,HTTP Deny
2024-01-01 0:38:00,Allowed,76.229.249.55,22.224.193.156,ICMP,24690,FTP Allow
2024-01-01 0:39:00,Allowed,9.173.174.36,22.170.194.52,ICMP,58056,ICMP Deny
2024-01-01 0:40:00,Blocked,159.136.6.156,128.199.210.131,TCP,22178,DNS Allow
2024-01-01 0:41:00,Blocked,171.116.2.101,46.87.175.162,HTTP,18596,DNS Allow
2024-01-01 0:42:00,Allowed,146.215.94.146,33.72.199.192,HTTP,35983,ICMP Deny
2024-01-01 0:43:00,Blocked,171.44.164.234,203.202.222.220,HTTPS,15885,ICMP Deny
2024-01-01 0:44:00,Blocked,16.34.33.240,65.152.127.119,ICMP,43038,HTTPS Allow
2024-01-01 0:45:00,Allowed,19.232.67.126,183.191.207.215,HTTP,33569,FTP Allow
2024-01-01 0:46:00,Blocked,153.127.140.224,210.71.230.11,HTTPS,17468,ICMP Deny
2024-01-01 0:47:00,Blocked,171.70.202.146,223.33.251.84,ICMP,18369,DNS Allow
2024-01-01 0:48:00,Blocked,19.238.253.31,22.233.79.35,UDP,58225,HTTPS Allow
2024-01-01 0:49:00,Blocked,58.95.236.87,225.68.233.17,ICMP,51720,DNS Allow
2024-01-01 0:50:00,Allowed,150.249.36.152,165.216.171.213,ICMP,17154,HTTPS Allow
2024-01-01 0:51:00,Blocked,127.90.31.117,138.101.20.97,UDP,34765,HTTP Deny
2024-01-01 0:52:00,Blocked,19.135.12.224,0.13.71.106,TCP,5162,FTP Allow
2024-01-01 0:53:00,Allowed,30.208.202.22,103.237.228.43,HTTP,4689,HTTPS Allow
2024-01-01 0:54:00,Allowed,25.77.201.95,225.35.125.62,TCP,24755,HTTP Deny
2024-01-01 0:55:00,Allowed,230.142.95.73,151.117.132.213,ICMP,11098,HTTPS Allow
2024-01-01 0:56:00,Blocked,190.243.192.110,26.141.8.164,ICMP,18833,FTP Allow
